"cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"A549","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2011-01-22#,#2011-10-21#,"wgEncodeEH001126","GSM864345","Crawford","UNC","baseAlignCounts.pl v 1","547a671ced5d6dc06b2f9a9b6f4bc221",,"hg19","wgEncode",,"1.8G",3496,"wgEncodeOpenChromFaireA549BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireA549BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireA549BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireA549BaseOverlapSignal.bigWig"
"A549","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2011-01-22#,#2011-10-21#,"wgEncodeEH001126","GSM864345","Crawford","UNC","p-value cutoff: 0.1","652def423fe6517827376446be57130e",,"hg19","wgEncode",,"3.2M",3496,"wgEncodeOpenChromFaireA549Pk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireA549Pk.narrowPeak.gz","wgEncodeOpenChromFaireA549Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireA549Pk.narrowPeak.gz"
"A549","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2011-01-22#,#2011-10-21#,"wgEncodeEH001126","GSM864345","Crawford","UNC","fseq v 1.84, iff_generic_male","523430c69a0e56a98129574cb914c417",,"hg19","wgEncode",,"2.8G",3496,"wgEncodeOpenChromFaireA549Sig",,"bigWig","Signal","wgEncodeOpenChromFaireA549Sig.bigWig","wgEncodeOpenChromFaireA549Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireA549Sig.bigWig"
"Astrocy","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001115","GSM864347","Crawford","UNC","baseAlignCounts.pl v 1","5a8e95edd7993bb2f34a99dd7df46df5","renamed - Cell renaming caused file to be renamed to wgEncodeOpenChromFaireNhaBaseOverlapSignal.bigwig","hg19","wgEncode",,"1.6G",2481,"wgEncodeOpenChromFaireAstrocyBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireAstrocyBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireAstrocyBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireAstrocyBaseOverlapSignal.bigWig"
"Astrocy","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001115","GSM864347","Crawford","UNC","p-value cutoff: 0.1","4f8ed48117a0a6e308fa16f37d309807","renamed - Cell renaming caused file to be renamed to wgEncodeOpenChromFaireNhaPk.narrowPeak.gz","hg19","wgEncode",,"3.6M",2481,"wgEncodeOpenChromFaireAstrocyPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireAstrocyPk.narrowPeak.gz","wgEncodeOpenChromFaireAstrocyPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireAstrocyPk.narrowPeak.gz"
"Astrocy","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001115","GSM864347","Crawford","UNC","fseq v 1.84, iff_generic_male","9986af0f897a7edb7d4c3edbfb0d9988","renamed - Cell renaming caused file to be renamed to wgEncodeOpenChromFaireNhaSig.bigWig","hg19","wgEncode",,"2.7G",2481,"wgEncodeOpenChromFaireAstrocySig",,"bigWig","Signal","wgEncodeOpenChromFaireAstrocySig.bigWig","wgEncodeOpenChromFaireAstrocySig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireAstrocySig.bigWig"
"Colon_OC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-06-19#,#2013-03-19#,"wgEncodeEH003495","GSM1011125","Crawford","UNC","baseAlignCounts.pl v 1","b23037e96d480c0a836a9a48d8e14fa2",,,"wgEncode",,"1.9G",7103,"wgEncodeOpenChromFaireColonocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireColonocBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireColonocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireColonocBaseOverlapSignal.bigWig"
"Colon_OC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-06-19#,#2013-03-19#,"wgEncodeEH003495","GSM1011125","Crawford","UNC","p-value cutoff: 0.1","9d35119cb976572361dfb90129435a86",,,"wgEncode",,"3.6M",7103,"wgEncodeOpenChromFaireColonocPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireColonocPk.narrowPeak.gz","wgEncodeOpenChromFaireColonocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireColonocPk.narrowPeak.gz"
"Colon_OC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-06-19#,#2013-03-19#,"wgEncodeEH003495","GSM1011125","Crawford","UNC","fseq v 1.84, iff_generic_male","5aee65c7d4ebee8b256b31463a55eeb6",,,"wgEncode",,"2.9G",7103,"wgEncodeOpenChromFaireColonocSig",,"bigWig","Signal","wgEncodeOpenChromFaireColonocSig.bigWig","wgEncodeOpenChromFaireColonocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireColonocSig.bigWig"
"Endometrium_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003503","GSM1011119","Crawford","UNC","baseAlignCounts.pl v 1","2a6e974e49ecf46650e0dcd93250f016",,,"wgEncode",,"1.9G",7348,"wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireEndometriumocBaseOverlapSignal.bigWig"
"Endometrium_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003503","GSM1011119","Crawford","UNC","p-value cutoff: 0.1","04a0091a8e1a284f74bf1c9af30628d7",,,"wgEncode",,"3.2M",7348,"wgEncodeOpenChromFaireEndometriumocPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireEndometriumocPk.narrowPeak.gz","wgEncodeOpenChromFaireEndometriumocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireEndometriumocPk.narrowPeak.gz"
"Endometrium_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003503","GSM1011119","Crawford","UNC","fseq v 1.84, iff_generic_female","6f94612534c35fc77f5484d4a5da1f8a",,,"wgEncode",,"2.9G",7348,"wgEncodeOpenChromFaireEndometriumocSig",,"bigWig","Signal","wgEncodeOpenChromFaireEndometriumocSig.bigWig","wgEncodeOpenChromFaireEndometriumocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireEndometriumocSig.bigWig"
"Frontal_cortex_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-04#,#2013-04-04#,"wgEncodeEH003500","GSM1011122","Crawford","UNC","baseAlignCounts.pl v 1","bcbdc51af469fcf554226d14bcf888ca",,,"wgEncode",,"1.8G",7319,"wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireFrontalcortexocBaseOverlapSignal.bigWig"
"Frontal_cortex_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-04#,#2013-04-04#,"wgEncodeEH003500","GSM1011122","Crawford","UNC","p-value cutoff: 0.1","9867795a4fb65fa67a9f4d998f88892d",,,"wgEncode",,"4.0M",7319,"wgEncodeOpenChromFaireFrontalcortexocPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireFrontalcortexocPk.narrowPeak.gz","wgEncodeOpenChromFaireFrontalcortexocPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireFrontalcortexocPk.narrowPeak.gz"
"Frontal_cortex_OC","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jul 2012 Freeze",,#2012-07-04#,#2013-04-04#,"wgEncodeEH003500","GSM1011122","Crawford","UNC","fseq v 1.84, iff_generic_female","af7b6f7963ebd23b95fa557622581073",,,"wgEncode",,"3.0G",7319,"wgEncodeOpenChromFaireFrontalcortexocSig",,"bigWig","Signal","wgEncodeOpenChromFaireFrontalcortexocSig.bigWig","wgEncodeOpenChromFaireFrontalcortexocSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireFrontalcortexocSig.bigWig"
"Gliobla","wgEncodeOpenChromFaire","Gliobla/Input","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-20#,#2011-07-19#,"wgEncodeEH001119","GSM864350","Crawford","UNC","baseAlignCounts.pl v 1","933cf75031ab8c3ccd65c7726825d0a6",,"hg19","wgEncode",,"1.9G",2515,"wgEncodeOpenChromFaireGlioblaBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireGlioblaBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireGlioblaBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGlioblaBaseOverlapSignal.bigWig"
"Gliobla","wgEncodeOpenChromFaire","Gliobla/Input","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-20#,#2011-07-19#,"wgEncodeEH001119","GSM864350","Crawford","UNC","p-value cutoff: 0.1","4ea40d34f8c2300ac7b3d45ebd32c02a",,"hg19","wgEncode",,"2.8M",2515,"wgEncodeOpenChromFaireGlioblaPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireGlioblaPk.narrowPeak.gz","wgEncodeOpenChromFaireGlioblaPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGlioblaPk.narrowPeak.gz"
"Gliobla","wgEncodeOpenChromFaire","Gliobla/Input","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-20#,#2011-07-19#,"wgEncodeEH001119","GSM864350","Crawford","UNC","fseq v 1.84, iff_H54","add62768e1909fd187aec9c1605b7f10",,"hg19","wgEncode",,"2.7G",2515,"wgEncodeOpenChromFaireGlioblaSig",,"bigWig","Signal","wgEncodeOpenChromFaireGlioblaSig.bigWig","wgEncodeOpenChromFaireGlioblaSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGlioblaSig.bigWig"
"GM12878","wgEncodeOpenChromFaire","GM12878/Input","FaireSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-02-25#,#2009-11-25#,"wgEncodeEH000533","GSM864360","Crawford","UNC","baseAlignCounts.pl v 1","14979e58dfb1c935ff49e376706ee45c",,"hg18","wgEncode",,"1.7G",1480,"wgEncodeOpenChromFaireGm12878BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireGm12878BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireGm12878BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12878BaseOverlapSignal.bigWig"
"GM12878","wgEncodeOpenChromFaire","GM12878/Input","FaireSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-04-20#,#2010-01-20#,"wgEncodeEH000533","GSM864360","Crawford","UNC","p-value cutoff: 0.05","78b3ec1a6b7ef082d2be1a0b66a3597f",,"hg18","wgEncode",,"1.8M",1480,"wgEncodeOpenChromFaireGm12878Pk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireGm12878Pk.narrowPeak.gz","wgEncodeOpenChromFaireGm12878Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12878Pk.narrowPeak.gz"
"GM12878","wgEncodeOpenChromFaire","GM12878/Input","FaireSeq","ENCODE June 2010 Freeze",#2010-06-15#,#2009-02-25#,#2009-11-25#,"wgEncodeEH000533","GSM864360","Crawford","UNC","fseq v 1.84, iff_GM12878","4ba0e4fac1d620bc0d94d9312b0ac3ad",,"hg18","wgEncode",,"2.8G",1480,"wgEncodeOpenChromFaireGm12878Sig",,"bigWig","Signal","wgEncodeOpenChromFaireGm12878Sig.bigWig","wgEncodeOpenChromFaireGm12878Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12878Sig.bigWig"
"GM12891","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001116","GSM864349","Crawford","UNC","baseAlignCounts.pl v 1","450f43d8af05084c8b05cba9f63daf7a",,"hg19","wgEncode",,"1.6G",2494,"wgEncodeOpenChromFaireGm12891BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireGm12891BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireGm12891BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12891BaseOverlapSignal.bigWig"
"GM12891","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001116","GSM864349","Crawford","UNC","p-value cutoff: 0.1","ec28c90a900b8d5542acc7da3b0e7751",,"hg19","wgEncode",,"3.0M",2494,"wgEncodeOpenChromFaireGm12891Pk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireGm12891Pk.narrowPeak.gz","wgEncodeOpenChromFaireGm12891Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12891Pk.narrowPeak.gz"
"GM12891","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001116","GSM864349","Crawford","UNC","fseq v 1.84, iff_generic_male","490ef2bd993de830ef1084a55cee5522",,"hg19","wgEncode",,"2.9G",2494,"wgEncodeOpenChromFaireGm12891Sig",,"bigWig","Signal","wgEncodeOpenChromFaireGm12891Sig.bigWig","wgEncodeOpenChromFaireGm12891Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12891Sig.bigWig"
"GM12892","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001117","GSM864357","Crawford","UNC","baseAlignCounts.pl v 1","53676193d075c7d992e7210e23e99804",,"hg19","wgEncode",,"1.5G",2488,"wgEncodeOpenChromFaireGm12892BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireGm12892BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireGm12892BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12892BaseOverlapSignal.bigWig"
"GM12892","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001117","GSM864357","Crawford","UNC","p-value cutoff: 0.1","8fa3fc249f24746a2156b2a2c46b73ee",,"hg19","wgEncode",,"2.9M",2488,"wgEncodeOpenChromFaireGm12892Pk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireGm12892Pk.narrowPeak.gz","wgEncodeOpenChromFaireGm12892Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12892Pk.narrowPeak.gz"
"GM12892","wgEncodeOpenChromFaire","generic_female","FaireSeq","ENCODE Jan 2011 Freeze",,#2010-10-15#,#2011-07-15#,"wgEncodeEH001117","GSM864357","Crawford","UNC","fseq v 1.84, iff_generic_female","92d80da4f3825e866f0a28c195bd7536",,"hg19","wgEncode",,"2.8G",2488,"wgEncodeOpenChromFaireGm12892Sig",,"bigWig","Signal","wgEncodeOpenChromFaireGm12892Sig.bigWig","wgEncodeOpenChromFaireGm12892Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm12892Sig.bigWig"
"GM18507","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-20#,#2010-09-19#,"wgEncodeEH000586","GSM864355","Crawford","UNC","baseAlignCounts.pl v 1","3cc35d6d20b4331c9f7958c1747804d5",,"hg18","wgEncode",,"1.6G",1513,"wgEncodeOpenChromFaireGm18507BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireGm18507BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireGm18507BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm18507BaseOverlapSignal.bigWig"
"GM18507","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-20#,#2010-09-19#,"wgEncodeEH000586","GSM864355","Crawford","UNC","p-value cutoff: 0.1","b0afb955a7f9d25df88ac07b2fafd4f1",,"hg18","wgEncode",,"2.5M",1513,"wgEncodeOpenChromFaireGm18507Pk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireGm18507Pk.narrowPeak.gz","wgEncodeOpenChromFaireGm18507Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm18507Pk.narrowPeak.gz"
"GM18507","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-20#,#2010-09-19#,"wgEncodeEH000586","GSM864355","Crawford","UNC","fseq v 1.84, iff_generic_male","cb1336086c8bb96d9fc248e9096ff3ff",,"hg18","wgEncode",,"2.8G",1513,"wgEncodeOpenChromFaireGm18507Sig",,"bigWig","Signal","wgEncodeOpenChromFaireGm18507Sig.bigWig","wgEncodeOpenChromFaireGm18507Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm18507Sig.bigWig"
"GM19239","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-18#,#2010-09-18#,"wgEncodeEH000580","GSM864358","Crawford","UNC","baseAlignCounts.pl v 1","65de923324380cfeb8accdd9bbe4dda4",,"hg18","wgEncode",,"1.4G",1508,"wgEncodeOpenChromFaireGm19239BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireGm19239BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireGm19239BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm19239BaseOverlapSignal.bigWig"
"GM19239","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-18#,#2010-09-18#,"wgEncodeEH000580","GSM864358","Crawford","UNC","p-value cutoff: 0.05","31186ccf0932edb81a00ebf6bc1c7e5b",,"hg18","wgEncode",,"3.2M",1508,"wgEncodeOpenChromFaireGm19239Pk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireGm19239Pk.narrowPeak.gz","wgEncodeOpenChromFaireGm19239Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm19239Pk.narrowPeak.gz"
"GM19239","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-18#,#2010-09-18#,"wgEncodeEH000580","GSM864358","Crawford","UNC","fseq v 1.84, iff_generic_male","c5f27c78a72b921db63212eca6b5a682",,"hg18","wgEncode",,"2.9G",1508,"wgEncodeOpenChromFaireGm19239Sig",,"bigWig","Signal","wgEncodeOpenChromFaireGm19239Sig.bigWig","wgEncodeOpenChromFaireGm19239Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireGm19239Sig.bigWig"
"H1-hESC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-09-30#,#2010-06-30#,"wgEncodeEH000557","GSM864341","Crawford","UNC","baseAlignCounts.pl v 1","e0dee54668ec2afbfd2ccb2a0d107519",,"hg18","wgEncode",,"2.0G",1496,"wgEncodeOpenChromFaireH1hescBaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireH1hescBaseOverlapSignal.bigWig","wgEncodeOpenChromFaireH1hescBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireH1hescBaseOverlapSignal.bigWig"
"H1-hESC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-09-30#,#2010-06-30#,"wgEncodeEH000557","GSM864341","Crawford","UNC","p-value cutoff: 0.05","658d7e4f826c8f9c71d18d24443e89a9",,"hg18","wgEncode",,"1.6M",1496,"wgEncodeOpenChromFaireH1hescPk",,"narrowPeak","Peaks","wgEncodeOpenChromFaireH1hescPk.narrowPeak.gz","wgEncodeOpenChromFaireH1hescPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireH1hescPk.narrowPeak.gz"
"H1-hESC","wgEncodeOpenChromFaire","generic_male","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-09-30#,#2010-06-30#,"wgEncodeEH000557","GSM864341","Crawford","UNC","fseq v 1.84, iff_generic_male","4f605ece9bf447064c41b74f8749726e",,"hg18","wgEncode",,"2.9G",1496,"wgEncodeOpenChromFaireH1hescSig",,"bigWig","Signal","wgEncodeOpenChromFaireH1hescSig.bigWig","wgEncodeOpenChromFaireH1hescSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireH1hescSig.bigWig"
"HeLa-S3","wgEncodeOpenChromFaire","HeLa-S3/Input","FaireSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-22#,#2009-12-22#,"wgEncodeEH000544","GSM864348","Crawford","UNC","baseAlignCounts.pl v 1","99b05af6d9f2f0f029daca6a8a5257ee",,"hg18","wgEncode",,"1.5G",1497,"wgEncodeOpenChromFaireHelas3BaseOverlapSignal",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromFaireHelas3BaseOverlapSignal.bigWig","wgEncodeOpenChromFaireHelas3BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromFaire/wgEncodeOpenChromFaireHelas3BaseOverlapSignal.bigWig"
